neighbor_count	neighbors[list]	SelectedFingers.2.0	Flexion.2.0	FlexionChange.2.0	Spread.2.0	SpreadChange.2.0	ThumbPosition.2.0	ThumbContact.2.0	SignType.2.0	Movement.2.0	RepeatedMovement.2.0	MajorLocation.2.0	MinorLocation.2.0	SecondMinorLocation.2.0	Contact.2.0	NonDominantHandshape.2.0	UlnarRotation.2.0
3	[hoe;G_01_007,night;A_01_003,pet_2;K_02_085]	imrp	Flat	0.0	0.0	0.0	Open	0.0	AsymmetricalSameHandshape	Straight	1	Hand	PalmBack	HandAway	1	flat_b	0
2	[night;A_01_003,pet_2;K_02_085]	imrp	Flat	1.0	0.0	0.0	Open	0.0	AsymmetricalSameHandshape	Straight	1	Hand	PalmBack		1	flat_b	0
2	[breakdown;B_01_064,hamburger;A_01_004]	imrp	Curved	0.0	1.0	0.0	Open	0.0	SymmetricalOrAlternating	Straight	0	Neutral	Neutral	Neutral	1	c	0
2	[breakdown;B_01_064,hamburger;A_01_004]	imrp	Curved	0.0	0.0	0.0	Open	0.0	SymmetricalOrAlternating	Straight	0	Neutral	Neutral	Neutral	1	curved_5	0
2	[congratulations;B_02_022,hamburger;A_01_004]	imrp	Curved	0.0	0.0	0.0	Open	0.0	SymmetricalOrAlternating	Straight	0	Neutral	Neutral		1	c	0
4	[category;E_01_034,give_up;H_03_028,hamburger;A_01_004,small;D_01_030]	imrp	Curved	0.0	0.0	0.0	Open	0.0	SymmetricalOrAlternating	Straight	0	Neutral	Neutral	Neutral	0	c	0
4	[category;E_01_034,hamburger;A_01_004,how;D_02_082,stack_2;K_02_102]	imrp	Curved	0.0	0.0	0.0	Open	0.0	SymmetricalOrAlternating	Curved	0	Neutral	Neutral	Neutral	1	c	0
2	[hamburger;A_01_004,how;D_02_082]	imrp	Curved	0.0	0.0	0.0	Open	0.0	SymmetricalOrAlternating	Straight	0	Neutral	Neutral	Neutral	1	c	1
2	[hamburger;A_01_004,roof;F_01_039]	imrp	Flat	0.0	0.0	0.0	Open	0.0	SymmetricalOrAlternating	Straight	0	Neutral	Neutral	Neutral	1	c	0
2	[hamburger;A_01_004,roof;F_01_039]	imrp	Curved	0.0	0.0	0.0	Open	0.0	SymmetricalOrAlternating	Straight	0	Neutral	Neutral	Neutral	1	flat_b	0
2	[hamburger;A_01_004,sandwich_4;K_01_015]	imrp	FullyOpen	0.0	0.0	0.0	Open	0.0	SymmetricalOrAlternating	Straight	0	Neutral	Neutral	Neutral	1	c	0
2	[hamburger;A_01_004,sandwich_4;K_01_015]	imrp	Curved	0.0	0.0	0.0	Open	0.0	SymmetricalOrAlternating	Straight	0	Neutral	Neutral	Neutral	1	open_b	0
2	[hamburger;A_01_004,tow_2;K_01_098]	imrp	Curved	0.0	0.0	0.0	Open	0.0	DominanceViolation	Straight	0	Neutral	Neutral	Neutral	1	c	0
2	[hamburger;A_01_004,tow_2;K_01_098]	imrp	Curved	0.0	0.0	0.0	Open	0.0	SymmetricalOrAlternating	Straight	0	Neutral	Neutral	Neutral	1	DominanceConditionViolation	0
2	[castle;A_01_008,castle_2;K_01_017]	im	Curved	1.0	1.0	0.0	Closed	0.0	SymmetricalOrAlternating	BackAndForth	1	Neutral	Neutral	Neutral	1	curved_v	0
3	[castle;A_01_008,castle_2;K_01_017,skateboarding_2;K_01_079]	im	Curved	1.0	1.0	0.0	Closed	0.0	SymmetricalOrAlternating	Straight	1	Neutral	Neutral	Neutral	0	curved_v	0
2	[humble;A_01_009,serious;B_01_071]	i	FullyOpen	0.0			Closed	0.0	OneHanded		0	Head	Mouth		1		1
2	[humble;A_01_009,mock;C_01_015]	ip	FullyOpen	0.0			Closed	0.0	OneHanded		0	Head	Mouth		1		0
3	[deaf_school;H_01_022,humble;A_01_009,think_over;D_02_054]	i	FullyOpen	0.0			Closed	0.0	OneHanded		0	Head	Mouth		0		0
3	[humble;A_01_009,russia;D_02_091,sshh;E_02_016]	i	FullyOpen	0.0			Closed	0.0	OneHanded	BackAndForth	0	Head	Mouth		1		0
3	[TRUE;D_03_038,humble;A_01_009,sshh;E_02_016]	i	FullyOpen	0.0			Closed	0.0	OneHanded	Curved	0	Head	Mouth		1		0
3	[humble;A_01_009,sister;D_03_050,whistle_3;K_03_055]	i	FullyOpen	0.0			Open	0.0	OneHanded		0	Head	Mouth		1		0
3	[chin_2;F_02_070,humble;A_01_009,sneeze_2;K_02_023]	i	Flat	0.0			Closed	0.0	OneHanded		0	Head	Mouth		1		0
3	[deaf_school;H_01_022,humble;A_01_009,think_over;D_02_054]	i	FullyOpen	0.0			Closed	0.0	OneHanded		0	Head	Mouth		0		0
2	[addict;H_02_073,humble;A_01_009]	i	Bent	0.0			Closed	0.0	OneHanded		0	Head	Mouth		1		0
3	[chin_2;F_02_070,humble;A_01_009,sneeze_2;K_02_023]	i	Flat	0.0			Closed	0.0	OneHanded		0	Head	Mouth		1		0
7	[disagreement;B_02_066,dont_mind;B_03_033,hear_1;E_01_097,humble;A_01_009,miss;G_02_049,sneeze_2;K_02_023,spot_something;G_01_002]	i	FullyOpen	0.0			Closed	0.0	OneHanded		0	Head	UpperLip		1		0
2	[humble;A_01_009,whistle_3;K_03_055]	i	Curved	0.0			Closed	0.0	OneHanded		0	Head	Mouth		1		0
3	[humble;A_01_009,sister;D_03_050,whistle_3;K_03_055]	i	FullyOpen	0.0			Open	0.0	OneHanded		0	Head	Mouth		1		0
3	[access;H_02_086,cup;A_01_010,psychologist;A_03_010]	imrp	FullyOpen	0.0	0.0	0.0	Open	0.0	AsymmetricalDifferentHandshape	Straight	1	Hand	Palm		1	B	0
3	[church;C_02_018,cup;A_01_010,psychologist;A_03_010]	imrp	Curved	0.0	0.0	0.0	Open	0.0	AsymmetricalDifferentHandshape	Straight	1	Hand	FingerRadial		1	B	0
3	[cup;A_01_010,excuse;D_03_052,money;C_01_042]	imrp	Flat	0.0	0.0	0.0	Open	0.0	AsymmetricalDifferentHandshape	Straight	1	Hand	Palm		1	B	0
3	[cup;A_01_010,document;H_01_097,money;C_01_042]	imrp	Curved	0.0	0.0	0.0	Open	1.0	AsymmetricalDifferentHandshape	Straight	1	Hand	Palm		1	B	0
5	[access;H_02_086,bulldozer;E_01_083,cup;A_01_010,dig;K_02_119,excuse;D_03_052]	imrp	Curved	0.0	0.0	0.0	Open	0.0	AsymmetricalDifferentHandshape	Straight	1	Hand	Palm	HandAway	1	B	0
3	[church;C_02_018,cup;A_01_010,slipper;E_01_062]	imrp	Curved	0.0	0.0	0.0	Open	0.0	AsymmetricalDifferentHandshape	Straight	1	Hand	Other		1	B	0
3	[bulldozer;E_01_083,cup;A_01_010,slipper;E_01_062]	imrp	Curved	0.0	0.0	0.0	Open	0.0	AsymmetricalDifferentHandshape	Straight	1	Hand	Palm	Other	1	B	0
2	[cup;A_01_010,document;H_01_097]	imrp	Curved	0.0	0.0	0.0	Open	0.0	AsymmetricalDifferentHandshape	Straight	0	Hand	Palm		1	B	0
3	[bulldozer;E_01_083,cup;A_01_010,talk_dirty;H_02_046]	imrp	Curved	0.0	0.0	0.0	Open	0.0	AsymmetricalDifferentHandshape	Straight	1	Hand	Palm	FingerBack	1	B	0
2	[cup;A_01_010,dig;K_02_119]	imrp	Curved	0.0	0.0	0.0	Open	0.0	AsymmetricalDifferentHandshape	Curved	1	Hand	Palm		1	B	0
2	[english;A_01_011,warn;B_01_033]	imrp	FullyOpen	0.0	0.0	0.0	Open	0.0	AsymmetricalSameHandshape	Straight	1	Hand	PalmBack		1	c	0
2	[english;A_01_011,warn;B_01_033]	imrp	Curved	0.0	0.0	0.0	Open	0.0	AsymmetricalSameHandshape	Straight	1	Hand	PalmBack		1	open_b	0
2	[church;C_02_018,english;A_01_011]	imrp	Curved	0.0	0.0	0.0	Open	0.0	AsymmetricalDifferentHandshape	Straight	1	Hand	PalmBack		1	c	0
2	[church;C_02_018,english;A_01_011]	imrp	Curved	0.0	0.0	0.0	Open	0.0	AsymmetricalSameHandshape	Straight	1	Hand	PalmBack		1	B	0
3	[prince;E_01_003,religion;B_03_029,tie;A_01_013]	im	Crossed	0.0	0.0	0.0	Closed	0.0	OneHanded	Curved	0	Body	Clavicle	TorsoMid	1		0
3	[religion;B_03_029,tie;A_01_013,us;H_03_055]	im	Flat	0.0	0.0	0.0	Closed	0.0	OneHanded	Curved	0	Body	Clavicle	BodyAway	1		0
3	[prince;E_01_003,tie;A_01_013,us;H_03_055]	im	Flat	0.0	0.0	0.0	Closed	0.0	OneHanded	Curved	0	Body	Clavicle	TorsoBottom	1		0
3	[dentist;A_01_014,punch_face;J_01_051,shave;B_03_017]	imrp	FullyClosed	0.0		0.0	Closed	1.0	OneHanded	Straight	1	Head	CheekNose		1		0
2	[dentist;A_01_014,shave;B_03_017]	imrp	FullyClosed	0.0		0.0	Closed	1.0	OneHanded	Straight	1	Head	Mouth	Chin	1		0
2	[cough;C_02_071,dentist;A_01_014]	imrp	FullyClosed	0.0		0.0	Closed	1.0	OneHanded	Straight	1	Body	Mouth		1		0
2	[cough;C_02_071,dentist;A_01_014]	imrp	FullyClosed	0.0		0.0	Closed	1.0	OneHanded	Straight	1	Head	TorsoTop		1		0
2	[dentist;A_01_014,drug;F_01_040]	imrp	FullyClosed	0.0		0.0	Closed	1.0	OneHanded	Straight	1	Arm	Mouth		1		0
2	[dentist;A_01_014,drug;F_01_040]	imrp	FullyClosed	0.0		0.0	Closed	1.0	OneHanded	Straight	1	Head	ForearmFront		1		0
3	[dentist;A_01_014,kiss_fist;J_03_038,punch_face;J_01_051]	imrp	FullyClosed	0.0		0.0	Closed	1.0	OneHanded	Straight	0	Head	Mouth		1		0
3	[dentist;A_01_014,punch_face;J_01_051,shave;B_03_017]	imrp	FullyClosed	0.0		0.0	Closed	1.0	OneHanded	Straight	1	Head	CheekNose		1		0
3	[dentist;A_01_014,kiss_fist;J_03_038,punch_face;J_01_051]	imrp	FullyClosed	0.0		0.0	Closed	1.0	OneHanded	Straight	0	Head	Mouth		1		0
2	[dentist;A_01_014,kiss_fist;J_03_038]	imrp	FullyClosed	0.0		0.0	Closed	1.0	OneHanded	Straight	1	Head	Mouth	HeadAway	1		0
2	[harmonica;G_03_054,sandwich;A_01_015]	imrp	Flat	0.0	0.0	0.0	Open	0.0	SymmetricalOrAlternating	Straight	1	Head	HeadAway	HeadAway	0	B	0
2	[harmonica;G_03_054,sandwich;A_01_015]	imrp	Flat	0.0	0.0	0.0	Open	0.0	AsymmetricalDifferentHandshape	Straight	1	Head	HeadAway	HeadAway	0	flat_b	0
2	[chair;A_01_017,train;B_03_003]	im	Flat	0.0	0.0	0.0	Closed	0.0	DominanceViolation	Straight	1	Hand	FingerBack		1	DominanceConditionViolation	0
2	[chair;A_01_017,weigh;D_03_077]	im	FullyOpen	0.0	0.0	0.0	Closed	0.0	DominanceViolation	Curved	1	Hand	FingerBack		1	DominanceConditionViolation	0
3	[chair;A_01_017,knife_2;K_03_043,tape;G_01_017]	im	FullyOpen	0.0	0.0	0.0	Closed	0.0	DominanceViolation	Straight	1	Hand	FingerBack	HandAway	1	DominanceConditionViolation	0
3	[chair;A_01_017,knife_2;K_03_043,temporary;G_03_067]	im	FullyOpen	0.0	0.0	0.0	Closed	0.0	DominanceViolation	Straight	1	Hand	FingerBack	FingerRadial	1	DominanceConditionViolation	0
2	[chair;A_01_017,pair;H_03_031]	im	FullyOpen	0.0	1.0	0.0	Closed	0.0	DominanceViolation	Straight	1	Hand	FingerBack		1	DominanceConditionViolation	0
3	[chair;A_01_017,name;D_01_021,pair;H_03_031]	im	FullyOpen	0.0	0.0	0.0	Closed	0.0	DominanceViolation	Straight	1	Hand	FingerTip		1	DominanceConditionViolation	0
2	[candy_1;A_01_018,onion;A_03_038]	i	FullyOpen	0.0			Closed	0.0	OneHanded		1	Head	Eye		1		1
3	[candy_1;A_01_018,dont_mind;B_03_033,serious;B_01_071]	i	FullyOpen	0.0			Closed	0.0	OneHanded		0	Head	CheekNose		1		1
2	[candy_1;A_01_018,serious;B_01_071]	i	FullyOpen	0.0			Closed	0.0	OneHanded		1	Head	Chin		1		1
3	[candy_1;A_01_018,dont_mind;B_03_033,serious;B_01_071]	i	FullyOpen	0.0			Closed	0.0	OneHanded		0	Head	CheekNose		1		1
4	[candy_1;A_01_018,dont_mind;B_03_033,nose;G_03_075,recent;H_03_090]	i	FullyOpen	0.0			Closed	0.0	OneHanded		1	Head	CheekNose		1		0
2	[candy_1;A_01_018,kid;C_03_057]	ip	FullyOpen	0.0			Closed	0.0	OneHanded		1	Head	CheekNose		1		1
2	[candy_1;A_01_018,kid;C_03_057]	i	FullyOpen	0.0			Closed	0.0	OneHanded		1	Head	UpperLip		1		1
2	[accent;E_01_073,candy_1;A_01_018]	i	FullyOpen	0.0			Closed	0.0	OneHanded		1	Body	CheekNose		1		1
2	[accent;E_01_073,candy_1;A_01_018]	i	FullyOpen	0.0			Closed	0.0	OneHanded		1	Head	Neck		1		1
2	[candy_1;A_01_018,nose;G_03_075]	i	FullyOpen	0.0			Closed	0.0	OneHanded	Straight	1	Head	CheekNose		1		1
4	[candy_1;A_01_018,dont_mind;B_03_033,nose;G_03_075,recent;H_03_090]	i	FullyOpen	0.0			Closed	0.0	OneHanded		1	Head	CheekNose		1		0
4	[candy_1;A_01_018,dont_mind;B_03_033,nose;G_03_075,recent;H_03_090]	i	FullyOpen	0.0			Closed	0.0	OneHanded		1	Head	CheekNose		1		0
3	[alone;D_02_024,insult;A_03_006,wander;A_01_019]	i	FullyOpen	0.0			Closed	0.0	OneHanded	Z-shaped	0	Neutral	Neutral	Neutral	0		1
3	[must;F_02_004,scroll_down;C_03_084,wander;A_01_019]	i	Bent	0.0			Closed	0.0	OneHanded	Z-shaped	0	Neutral	Neutral	Neutral	0		0
3	[italy;D_02_074,later;D_01_077,wander;A_01_019]	i	FullyOpen	0.0			Open	0.0	OneHanded	Z-shaped	0	Neutral	Neutral	Neutral	0		0
5	[alone;D_02_024,day;C_01_044,isolated;F_02_033,up;E_01_069,wander;A_01_019]	i	FullyOpen	0.0			Closed	0.0	OneHanded	Circular	0	Neutral	Neutral	Neutral	0		0
3	[alone;D_02_024,insult;A_03_006,wander;A_01_019]	i	FullyOpen	0.0			Closed	0.0	OneHanded	Z-shaped	0	Neutral	Neutral	Neutral	0		1
3	[blow_candle_2;K_02_022,there;D_02_060,wander;A_01_019]	i	FullyOpen	0.0			Closed	0.0	OneHanded	Z-shaped	0	Neutral	Neutral		0		0
2	[italy;D_02_074,wander;A_01_019]	i	Curved	0.0			Closed	0.0	OneHanded	Z-shaped	0	Neutral	Neutral	Neutral	0		0
3	[italy;D_02_074,later;D_01_077,wander;A_01_019]	i	FullyOpen	0.0			Open	0.0	OneHanded	Z-shaped	0	Neutral	Neutral	Neutral	0		0
3	[must;F_02_004,scroll_down;C_03_084,wander;A_01_019]	i	Bent	0.0			Closed	0.0	OneHanded	Z-shaped	0	Neutral	Neutral	Neutral	0		0
5	[alone;D_02_024,day;C_01_044,isolated;F_02_033,up;E_01_069,wander;A_01_019]	i	FullyOpen	0.0			Closed	0.0	OneHanded	Circular	0	Neutral	Neutral	Neutral	0		0
2	[isolated;F_02_033,wander;A_01_019]	i	FullyOpen	0.0			Closed	0.0	OneHanded	Z-shaped	1	Neutral	Neutral	Neutral	0		0
4	[blow_candle_2;K_02_022,day;C_01_044,up;E_01_069,wander;A_01_019]	i	FullyOpen	0.0			Closed	0.0	OneHanded		0	Neutral	Neutral	Neutral	0		0
3	[blow_candle_2;K_02_022,there;D_02_060,wander;A_01_019]	i	FullyOpen	0.0			Closed	0.0	OneHanded	Z-shaped	0	Neutral	Neutral		0		0
2	[point_index;K_02_083,wander;A_01_019]	i	Flat	0.0			Closed	0.0	OneHanded	Z-shaped	0	Neutral	Neutral	Neutral	0		0
2	[scientist;A_01_020,text;B_03_054]	t		1.0			Open		SymmetricalOrAlternating	Circular	1	Neutral	Neutral	Neutral	0	a	0
4	[continue;D_03_032,dig_up;G_02_019,scientist;A_01_020,which;B_01_088]	t					Open		SymmetricalOrAlternating	Curved	1	Neutral	Neutral	Neutral	0	a	0
3	[scientist;A_01_020,shape;F_01_005,which;B_01_088]	t					Open		SymmetricalOrAlternating	Z-shaped	1	Neutral	Neutral	Neutral	0	a	0
2	[scientist;A_01_020,shape;F_01_005]	t					Open		SymmetricalOrAlternating	Circular	0	Neutral	Neutral	Neutral	0	a	0
3	[race;F_02_075,scientist;A_01_020,which;B_01_088]	t					Open		SymmetricalOrAlternating		1	Neutral	Neutral	Neutral	0	a	0
3	[dig_up;G_02_019,race;F_02_075,scientist;A_01_020]	t					Open		SymmetricalOrAlternating	Circular	1	Neutral	Neutral	Neutral	0	a	1
4	[continue;D_03_032,dig_up;G_02_019,scientist;A_01_020,which;B_01_088]	t					Open		SymmetricalOrAlternating	Curved	1	Neutral	Neutral	Neutral	0	a	0
3	[dig_up;G_02_019,race;F_02_075,scientist;A_01_020]	t					Open		SymmetricalOrAlternating	Circular	1	Neutral	Neutral	Neutral	0	a	1
3	[bury_1;K_02_014,read;A_01_022,slice_4;K_03_067]	im	FullyOpen	0.0	0.0	0.0	Closed	0.0	AsymmetricalDifferentHandshape	Straight	1	Hand	HandAway	HandAway	0	B	0
2	[bury_1;K_02_014,read;A_01_022]	im	FullyOpen	0.0	1.0	0.0	Closed	0.0	AsymmetricalDifferentHandshape	Straight	0	Hand	HandAway	HandAway	0	B	0
2	[read;A_01_022,strain_1;K_03_045]	imrp	FullyOpen	0.0	1.0	0.0	Closed	0.0	AsymmetricalDifferentHandshape	Straight	1	Hand	HandAway	HandAway	0	B	0
3	[read;A_01_022,slice_4;K_03_067,strain_1;K_03_045]	im	FullyOpen	0.0	1.0	0.0	Closed	0.0	AsymmetricalDifferentHandshape	Straight	1	Hand	HandAway	HandAway	0	S	0
2	[cat;A_01_023,turkey;A_02_078]	i	Flat	0.0			Open	1.0	OneHanded	Straight	1	Head	CheekNose	HeadAway	1		0
2	[cat;A_01_023,turkey;A_02_078]	i	Curved	0.0			Open	0.0	OneHanded	Straight	1	Head	CheekNose	HeadAway	1		0
2	[cat;A_01_023,fox;A_03_041]	i	Curved	0.0			Open	1.0	OneHanded	Curved	1	Head	CheekNose	HeadAway	1		0
3	[cat;A_01_023,clueless;F_03_082,strawberry;A_01_068]	i	Curved	0.0			Open	1.0	OneHanded	Straight	1	Head	HeadAway	HeadAway	1		0
2	[cat;A_01_023,clueless;F_03_082]	i	Curved	0.0			Open	1.0	OneHanded	Straight	1	Head	CheekNose	HeadAway	0		0
3	[cat;A_01_023,soon_1;G_01_004,strawberry;A_01_068]	i	Curved	0.0			Open	1.0	OneHanded	Straight	1	Head	Chin	HeadAway	1		0
4	[cat;A_01_023,cheek;G_03_052,magnify_1;G_01_073,theory;J_03_042]	i	Bent	0.0			Open	1.0	OneHanded	Straight	1	Head	CheekNose	HeadAway	1		0
3	[cat;A_01_023,magnify_1;G_01_073,strawberry;A_01_068]	i	Curved	0.0			Open	1.0	OneHanded	Straight	1	Head	Eye	HeadAway	1		0
4	[cat;A_01_023,cheek;G_03_052,magnify_1;G_01_073,theory;J_03_042]	i	Bent	0.0			Open	1.0	OneHanded	Straight	1	Head	CheekNose	HeadAway	1		0
2	[barely;H_03_037,cat;A_01_023]	i	Curved	0.0			Open	1.0	OneHanded	Straight	0	Head	CheekNose	HeadAway	1		0
3	[barely;H_03_037,cat;A_01_023,strawberry;A_01_068]	i	Curved	0.0			Open	1.0	OneHanded	Straight	1	Head	HeadTop	HeadAway	1		0
4	[cat;A_01_023,cheek;G_03_052,magnify_1;G_01_073,theory;J_03_042]	i	Bent	0.0			Open	1.0	OneHanded	Straight	1	Head	CheekNose	HeadAway	1		0
3	[cat;A_01_023,strawberry;A_01_068,theory;J_03_042]	i	Curved	0.0			Open	1.0	OneHanded	Straight	1	Head	Forehead	HeadAway	1		0
3	[prayer;C_03_090,room;A_01_024,waiter;A_01_061]	imrp	FullyOpen	0.0	0.0	0.0	Open	0.0	SymmetricalOrAlternating	Straight	1	Neutral	Neutral		0	open_b	0
2	[leave;B_02_084,room;A_01_024]	imrp	FullyOpen	1.0	0.0	0.0	Open	0.0	SymmetricalOrAlternating	Straight	0	Neutral	Neutral		0	open_b	0
3	[box;C_03_025,order_1;C_02_064,room;A_01_024]	imrp	FullyOpen	0.0	0.0	0.0	Open	0.0	SymmetricalOrAlternating	Z-shaped	0	Neutral	Neutral		0	open_b	0
3	[prayer;C_03_090,room;A_01_024,sandwich_4;K_01_015]	imrp	FullyOpen	0.0	0.0	0.0	Open	0.0	SymmetricalOrAlternating	Straight	0	Neutral	Neutral		1	open_b	0
3	[box;C_03_025,lift;G_02_082,room;A_01_024]	imrp	FullyOpen	0.0	0.0	0.0	Open	0.0	SymmetricalOrAlternating	Curved	0	Neutral	Neutral		0	open_b	0
2	[room;A_01_024,swear_in;J_02_016]	imrp	FullyOpen	0.0	0.0	0.0	Open	0.0	AsymmetricalSameHandshape	Straight	0	Neutral	Neutral		0	open_b	0
2	[paper;A_01_026,school;C_03_089]	imrp	FullyOpen	0.0	1.0	0.0	Open	0.0	AsymmetricalSameHandshape	Straight	1	Hand	Palm	HandAway	1	5	0
2	[paper;A_01_026,school;C_03_089]	imrp	FullyOpen	0.0	1.0	0.0	Open	0.0	AsymmetricalSameHandshape	Curved	1	Hand	Palm		1	5	0
2	[paper;A_01_026,sweep;D_01_086]	imrp	FullyOpen	0.0	0.0	0.0	Open	0.0	AsymmetricalSameHandshape	Curved	1	Hand	Palm	HandAway	1	5	0
2	[paper;A_01_026,sweep;D_01_086]	imrp	FullyOpen	0.0	1.0	0.0	Open	0.0	AsymmetricalSameHandshape	Curved	1	Hand	Palm	HandAway	1	open_b	0
3	[book;A_01_027,chat;C_01_079,city;B_01_029]	imrp	FullyOpen	0.0	0.0	0.0	Open	0.0	SymmetricalOrAlternating	Straight	1	Neutral	Neutral	Neutral	1	open_b	1
2	[boat;D_01_055,book;A_01_027]	imrp	FullyOpen	0.0	0.0	0.0	Open	0.0	SymmetricalOrAlternating	Curved	1	Neutral	Neutral		1	open_b	1
2	[book;A_01_027,wrestle;J_01_033]	imrp	FullyOpen	0.0	1.0	0.0	Open	0.0	SymmetricalOrAlternating	Curved	1	Neutral	Neutral	Neutral	1	open_b	1
2	[book;A_01_027,wrestle;J_01_033]	imrp	FullyOpen	0.0	0.0	0.0	Open	0.0	SymmetricalOrAlternating	Curved	1	Neutral	Neutral	Neutral	1	5	1
2	[policeman;A_01_052,shirt;A_01_028]	i	Curved	0.0			Open	0.0	OneHanded	Straight	1	Body	TorsoTop		1		0
4	[benefit;C_02_056,policeman;A_01_052,shirt;A_01_028,volunteer;H_02_062]	i	Curved	0.0			Open	1.0	OneHanded	Straight	1	Body	Clavicle		1		0
2	[shirt;A_01_028,wristwatch;B_01_063]	i	Curved	0.0			Open	1.0	OneHanded	Straight	1	Arm	TorsoTop		1		0
2	[shirt;A_01_028,wristwatch;B_01_063]	i	Curved	0.0			Open	1.0	OneHanded	Straight	1	Body	WristBack		1		0
4	[benefit;C_02_056,policeman;A_01_052,shirt;A_01_028,volunteer;H_02_062]	i	Curved	0.0			Open	1.0	OneHanded	Straight	1	Body	Clavicle		1		0
2	[benefit;C_02_056,shirt;A_01_028]	i	Curved	0.0			Open	1.0	OneHanded	Straight	1	Body	TorsoTop		1		1
3	[buttons;F_02_025,navel;E_03_007,shirt;A_01_028]	i	Curved	0.0			Open	1.0	OneHanded	Straight	0	Body	TorsoTop		1		0
2	[navel;E_03_007,shirt;A_01_028]	i	Curved	0.0			Open	1.0	OneHanded	Straight	1	Body	Waist		1		0
3	[buttons;F_02_025,navel;E_03_007,shirt;A_01_028]	i	Curved	0.0			Open	1.0	OneHanded	Straight	0	Body	TorsoTop		1		0
2	[buttons;F_02_025,shirt;A_01_028]	i	Curved	0.0			Open	1.0	OneHanded	Straight	1	Body	TorsoTop	TorsoMid	1		0
2	[curious;F_03_051,shirt;A_01_028]	i	Curved	0.0			Open	1.0	OneHanded	Circular	1	Body	TorsoTop		1		0
2	[curious;F_03_051,shirt;A_01_028]	i	Curved	0.0			Open	1.0	OneHanded	Straight	1	Body	Neck		1		0
3	[shirt;A_01_028,soon_1;G_01_004,soon_3;H_03_023]	i	Curved	0.0			Open	1.0	OneHanded	Straight	1	Head	TorsoTop		1		0
2	[shirt;A_01_028,soon_1;G_01_004]	i	Curved	0.0			Open	1.0	OneHanded	Straight	1	Body	Chin		1		0
4	[benefit;C_02_056,policeman;A_01_052,shirt;A_01_028,volunteer;H_02_062]	i	Curved	0.0			Open	1.0	OneHanded	Straight	1	Body	Clavicle		1		0
2	[shirt;A_01_028,volunteer;H_02_062]	i	Curved	0.0			Open	1.0	OneHanded	Straight	1	Body	TorsoTop	BodyAway	1		0
3	[shirt;A_01_028,soon_1;G_01_004,soon_3;H_03_023]	i	Curved	0.0			Open	1.0	OneHanded	Straight	1	Head	TorsoTop		1		0
2	[shirt;A_01_028,soon_3;H_03_023]	i	Curved	0.0			Open	1.0	OneHanded	Straight	1	Body	CheekNose		1		0
3	[horse;A_01_029,pig;A_02_032,stubborn;B_03_086]	imrp	FullyOpen	1.0	0.0	0.0	Open	0.0	OneHanded		1	Head	Forehead		1		0
