neighbors[list]	SelectedFingers.2.0	Flexion.2.0	FlexionChange.2.0	Spread.2.0	SpreadChange.2.0	ThumbPosition.2.0	ThumbContact.2.0	SignType.2.0	Movement.2.0	RepeatedMovement.2.0	MajorLocation.2.0	MinorLocation.2.0	SecondMinorLocation.2.0	Contact.2.0	NonDominantHandshape.2.0	UlnarRotation.2.0
[congratulations;B_02_022,hamburger;A_01_004]	imrp	Curved	0.0	0.0	0.0	Open	0.0	SymmetricalOrAlternating	Straight	0	Neutral	Neutral	nan	1	c	0
[small;D_01_030,give_up;H_03_028,hamburger;A_01_004,category;E_01_034]	imrp	Curved	0.0	0.0	0.0	Open	0.0	SymmetricalOrAlternating	Straight	0	Neutral	Neutral	Neutral	0	c	0
[stack_2;K_02_102,how;D_02_082,hamburger;A_01_004,category;E_01_034]	imrp	Curved	0.0	0.0	0.0	Open	0.0	SymmetricalOrAlternating	Curved	0	Neutral	Neutral	Neutral	1	c	0
[how;D_02_082,hamburger;A_01_004]	imrp	Curved	0.0	0.0	0.0	Open	0.0	SymmetricalOrAlternating	Straight	0	Neutral	Neutral	Neutral	1	c	1
[hamburger;A_01_004,roof;F_01_039]	imrp	Flat	0.0	0.0	0.0	Open	0.0	SymmetricalOrAlternating	Straight	0	Neutral	Neutral	Neutral	1	c	0
[hamburger;A_01_004,roof;F_01_039]	imrp	Curved	0.0	0.0	0.0	Open	0.0	SymmetricalOrAlternating	Straight	0	Neutral	Neutral	Neutral	1	flat_b	0
[sandwich_4;K_01_015,hamburger;A_01_004]	imrp	FullyOpen	0.0	0.0	0.0	Open	0.0	SymmetricalOrAlternating	Straight	0	Neutral	Neutral	Neutral	1	c	0
[sandwich_4;K_01_015,hamburger;A_01_004]	imrp	Curved	0.0	0.0	0.0	Open	0.0	SymmetricalOrAlternating	Straight	0	Neutral	Neutral	Neutral	1	open_b	0
[hamburger;A_01_004,tow_2;K_01_098]	imrp	Curved	0.0	0.0	0.0	Open	0.0	DominanceViolation	Straight	0	Neutral	Neutral	Neutral	1	c	0
[hamburger;A_01_004,tow_2;K_01_098]	imrp	Curved	0.0	0.0	0.0	Open	0.0	SymmetricalOrAlternating	Straight	0	Neutral	Neutral	Neutral	1	DominanceConditionViolation	0
[castle;A_01_008,castle_2;K_01_017]	im	Curved	1.0	1.0	0.0	Closed	0.0	SymmetricalOrAlternating	BackAndForth	1	Neutral	Neutral	Neutral	1	curved_v	0
[castle;A_01_008,castle_2;K_01_017,skateboarding_2;K_01_079]	im	Curved	1.0	1.0	0.0	Closed	0.0	SymmetricalOrAlternating	Straight	1	Neutral	Neutral	Neutral	0	curved_v	0
[serious;B_01_071,humble;A_01_009]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	nan	0	Head	Chin	nan	1	nan	0
[serious;B_01_071,humble;A_01_009]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	nan	0	Head	Mouth	nan	1	nan	1
[mock;C_01_015,humble;A_01_009]	ip	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	nan	0	Head	Mouth	nan	1	nan	0
[mock;C_01_015,humble;A_01_009]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	nan	0	Head	CheekNose	nan	1	nan	0
[sure;C_03_044,humble;A_01_009]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	Straight	0	Head	Mouth	nan	1	nan	0
[sure;C_03_044,humble;A_01_009]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	nan	0	Head	Mouth	HeadAway	1	nan	0
[think_over;D_02_054,humble;A_01_009]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	nan	0	Head	Forehead	nan	1	nan	0
[think_over;D_02_054,humble;A_01_009]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	nan	0	Head	Mouth	nan	0	nan	0
[russia;D_02_091,humble;A_01_009]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	BackAndForth	0	Head	Mouth	nan	1	nan	0
[russia;D_02_091,humble;A_01_009]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	nan	0	Head	Mouth	HeadAway	1	nan	0
[TRUE;D_03_038,humble;A_01_009]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	Curved	0	Head	Mouth	nan	1	nan	0
[TRUE;D_03_038,humble;A_01_009]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	nan	0	Head	Mouth	HeadAway	1	nan	0
[sister;D_03_050,humble;A_01_009]	i	FullyOpen	0.0	nan	nan	Open	0.0	OneHanded	nan	0	Head	Mouth	nan	1	nan	0
[sister;D_03_050,humble;A_01_009]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	nan	0	Head	CheekNose	nan	1	nan	0
[deaf;E_03_098,humble;A_01_009]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	Straight	0	Head	Mouth	nan	1	nan	0
[deaf;E_03_098,humble;A_01_009]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	nan	0	Head	Other	nan	1	nan	0
[chin_2;F_02_070,humble;A_01_009]	i	Flat	0.0	nan	nan	Closed	0.0	OneHanded	nan	0	Head	Mouth	nan	1	nan	0
[chin_2;F_02_070,humble;A_01_009]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	nan	0	Head	Chin	nan	1	nan	0
[disappoint;G_03_018,humble;A_01_009]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	Straight	0	Head	Mouth	nan	1	nan	0
[disappoint;G_03_018,humble;A_01_009]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	nan	0	Head	Chin	nan	1	nan	0
[deaf_school;H_01_022,humble;A_01_009]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	nan	0	Head	Other	nan	1	nan	0
[deaf_school;H_01_022,humble;A_01_009]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	nan	0	Head	Mouth	nan	0	nan	0
[addict;H_02_073,humble;A_01_009]	i	Bent	0.0	nan	nan	Closed	0.0	OneHanded	nan	0	Head	Mouth	nan	1	nan	0
[addict;H_02_073,humble;A_01_009]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	Straight	0	Head	Mouth	nan	1	nan	0
[sneeze_2;K_02_023,humble;A_01_009]	i	Flat	0.0	nan	nan	Closed	0.0	OneHanded	nan	0	Head	Mouth	nan	1	nan	0
[sneeze_2;K_02_023,humble;A_01_009]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	nan	0	Head	UpperLip	nan	1	nan	0
[whistle_3;K_03_055,humble;A_01_009]	i	Curved	0.0	nan	nan	Closed	0.0	OneHanded	nan	0	Head	Mouth	nan	1	nan	0
[whistle_3;K_03_055,humble;A_01_009]	i	FullyOpen	0.0	nan	nan	Open	0.0	OneHanded	nan	0	Head	Mouth	nan	1	nan	0
[cup;A_01_010,psychologist;A_03_010,access;H_02_086]	imrp	FullyOpen	0.0	0.0	0.0	Open	0.0	AsymmetricalDifferentHandshape	Straight	1	Hand	Palm	nan	1	B	0
[cup;A_01_010,church;C_02_018,psychologist;A_03_010]	imrp	Curved	0.0	0.0	0.0	Open	0.0	AsymmetricalDifferentHandshape	Straight	1	Hand	FingerRadial	nan	1	B	0
[cup;A_01_010,money;C_01_042,excuse;D_03_052]	imrp	Flat	0.0	0.0	0.0	Open	0.0	AsymmetricalDifferentHandshape	Straight	1	Hand	Palm	nan	1	B	0
[cup;A_01_010,money;C_01_042,document;H_01_097]	imrp	Curved	0.0	0.0	0.0	Open	1.0	AsymmetricalDifferentHandshape	Straight	1	Hand	Palm	nan	1	B	0
[excuse;D_03_052,bulldozer;E_01_083,dig;K_02_119,cup;A_01_010,access;H_02_086]	imrp	Curved	0.0	0.0	0.0	Open	0.0	AsymmetricalDifferentHandshape	Straight	1	Hand	Palm	HandAway	1	B	0
[cup;A_01_010,church;C_02_018,slipper;E_01_062]	imrp	Curved	0.0	0.0	0.0	Open	0.0	AsymmetricalDifferentHandshape	Straight	1	Hand	Other	nan	1	B	0
[cup;A_01_010,bulldozer;E_01_083,slipper;E_01_062]	imrp	Curved	0.0	0.0	0.0	Open	0.0	AsymmetricalDifferentHandshape	Straight	1	Hand	Palm	Other	1	B	0
[cup;A_01_010,document;H_01_097]	imrp	Curved	0.0	0.0	0.0	Open	0.0	AsymmetricalDifferentHandshape	Straight	0	Hand	Palm	nan	1	B	0
[cup;A_01_010,talk_dirty;H_02_046,bulldozer;E_01_083]	imrp	Curved	0.0	0.0	0.0	Open	0.0	AsymmetricalDifferentHandshape	Straight	1	Hand	Palm	FingerBack	1	B	0
[cup;A_01_010,dig;K_02_119]	imrp	Curved	0.0	0.0	0.0	Open	0.0	AsymmetricalDifferentHandshape	Curved	1	Hand	Palm	nan	1	B	0
[warn;B_01_033,english;A_01_011]	imrp	FullyOpen	0.0	0.0	0.0	Open	0.0	AsymmetricalSameHandshape	Straight	1	Hand	PalmBack	nan	1	c	0
[warn;B_01_033,english;A_01_011]	imrp	Curved	0.0	0.0	0.0	Open	0.0	AsymmetricalSameHandshape	Straight	1	Hand	PalmBack	nan	1	open_b	0
[church;C_02_018,english;A_01_011]	imrp	Curved	0.0	0.0	0.0	Open	0.0	AsymmetricalDifferentHandshape	Straight	1	Hand	PalmBack	nan	1	c	0
[church;C_02_018,english;A_01_011]	imrp	Curved	0.0	0.0	0.0	Open	0.0	AsymmetricalSameHandshape	Straight	1	Hand	PalmBack	nan	1	B	0
[prince;E_01_003,religion;B_03_029,tie;A_01_013]	im	Crossed	0.0	0.0	0.0	Closed	0.0	OneHanded	Curved	0	Body	Clavicle	TorsoMid	1	nan	0
[us;H_03_055,religion;B_03_029,tie;A_01_013]	im	Flat	0.0	0.0	0.0	Closed	0.0	OneHanded	Curved	0	Body	Clavicle	BodyAway	1	nan	0
[prince;E_01_003,us;H_03_055,tie;A_01_013]	im	Flat	0.0	0.0	0.0	Closed	0.0	OneHanded	Curved	0	Body	Clavicle	TorsoBottom	1	nan	0
[dentist;A_01_014,shave;B_03_017]	imrp	FullyClosed	0.0	nan	0.0	Closed	1.0	OneHanded	Straight	1	Head	CheekNose	nan	1	nan	0
[dentist;A_01_014,shave;B_03_017]	imrp	FullyClosed	0.0	nan	0.0	Closed	1.0	OneHanded	Straight	1	Head	Mouth	Chin	1	nan	0
[dentist;A_01_014,cough;C_02_071]	imrp	FullyClosed	0.0	nan	0.0	Closed	1.0	OneHanded	Straight	1	Body	Mouth	nan	1	nan	0
[dentist;A_01_014,cough;C_02_071]	imrp	FullyClosed	0.0	nan	0.0	Closed	1.0	OneHanded	Straight	1	Head	TorsoTop	nan	1	nan	0
[drug;F_01_040,dentist;A_01_014]	imrp	FullyClosed	0.0	nan	0.0	Closed	1.0	OneHanded	Straight	1	Arm	Mouth	nan	1	nan	0
[drug;F_01_040,dentist;A_01_014]	imrp	FullyClosed	0.0	nan	0.0	Closed	1.0	OneHanded	Straight	1	Head	ForearmFront	nan	1	nan	0
[dentist;A_01_014,punch_face;J_01_051]	imrp	FullyClosed	0.0	nan	0.0	Closed	1.0	OneHanded	Straight	0	Head	Mouth	nan	1	nan	0
[dentist;A_01_014,punch_face;J_01_051]	imrp	FullyClosed	0.0	nan	0.0	Closed	1.0	OneHanded	Straight	1	Head	CheekNose	nan	1	nan	0
[kiss_fist;J_03_038,dentist;A_01_014]	imrp	FullyClosed	0.0	nan	0.0	Closed	1.0	OneHanded	Straight	0	Head	Mouth	nan	1	nan	0
[kiss_fist;J_03_038,dentist;A_01_014]	imrp	FullyClosed	0.0	nan	0.0	Closed	1.0	OneHanded	Straight	1	Head	Mouth	HeadAway	1	nan	0
[harmonica;G_03_054,sandwich;A_01_015]	imrp	Flat	0.0	0.0	0.0	Open	0.0	SymmetricalOrAlternating	Straight	1	Head	HeadAway	HeadAway	0	B	0
[harmonica;G_03_054,sandwich;A_01_015]	imrp	Flat	0.0	0.0	0.0	Open	0.0	AsymmetricalDifferentHandshape	Straight	1	Head	HeadAway	HeadAway	0	flat_b	0
[chair;A_01_017,train;B_03_003]	im	Flat	0.0	0.0	0.0	Closed	0.0	DominanceViolation	Straight	1	Hand	FingerBack	nan	1	DominanceConditionViolation	0
[weigh;D_03_077,chair;A_01_017]	im	FullyOpen	0.0	0.0	0.0	Closed	0.0	DominanceViolation	Curved	1	Hand	FingerBack	nan	1	DominanceConditionViolation	0
[knife_2;K_03_043,chair;A_01_017,tape;G_01_017]	im	FullyOpen	0.0	0.0	0.0	Closed	0.0	DominanceViolation	Straight	1	Hand	FingerBack	HandAway	1	DominanceConditionViolation	0
[knife_2;K_03_043,chair;A_01_017,temporary;G_03_067]	im	FullyOpen	0.0	0.0	0.0	Closed	0.0	DominanceViolation	Straight	1	Hand	FingerBack	FingerRadial	1	DominanceConditionViolation	0
[chair;A_01_017,pair;H_03_031]	im	FullyOpen	0.0	1.0	0.0	Closed	0.0	DominanceViolation	Straight	1	Hand	FingerBack	nan	1	DominanceConditionViolation	0
[chair;A_01_017,name;D_01_021,pair;H_03_031]	im	FullyOpen	0.0	0.0	0.0	Closed	0.0	DominanceViolation	Straight	1	Hand	FingerTip	nan	1	DominanceConditionViolation	0
[candy_1;A_01_018,onion;A_03_038]	i	Bent	0.0	nan	nan	Closed	0.0	OneHanded	nan	1	Head	CheekNose	nan	1	nan	1
[candy_1;A_01_018,onion;A_03_038]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	nan	1	Head	Eye	nan	1	nan	1
[serious;B_01_071,candy_1;A_01_018]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	nan	0	Head	CheekNose	nan	1	nan	1
[serious;B_01_071,candy_1;A_01_018]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	nan	1	Head	Chin	nan	1	nan	1
[dont_mind;B_03_033,candy_1;A_01_018]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	nan	0	Head	CheekNose	nan	1	nan	1
[dont_mind;B_03_033,candy_1;A_01_018]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	nan	1	Head	CheekNose	nan	1	nan	0
[kid;C_03_057,candy_1;A_01_018]	ip	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	nan	1	Head	CheekNose	nan	1	nan	1
[kid;C_03_057,candy_1;A_01_018]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	nan	1	Head	UpperLip	nan	1	nan	1
[accent;E_01_073,candy_1;A_01_018]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	nan	1	Body	CheekNose	nan	1	nan	1
[accent;E_01_073,candy_1;A_01_018]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	nan	1	Head	Neck	nan	1	nan	1
[candy_1;A_01_018,nose;G_03_075]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	Straight	1	Head	CheekNose	nan	1	nan	1
[candy_1;A_01_018,nose;G_03_075]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	nan	1	Head	CheekNose	nan	1	nan	0
[recent;H_03_090,candy_1;A_01_018]	i	Bent	0.0	nan	nan	Closed	0.0	OneHanded	nan	1	Head	CheekNose	nan	1	nan	1
[recent;H_03_090,candy_1;A_01_018]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	nan	1	Head	CheekNose	nan	1	nan	0
[wander;A_01_019,insult;A_03_006]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	Curved	0	Neutral	Neutral	Neutral	0	nan	0
[wander;A_01_019,insult;A_03_006]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	Z-shaped	0	Neutral	Neutral	Neutral	0	nan	1
[wander;A_01_019,scroll_down;C_03_084]	i	Bent	0.0	nan	nan	Closed	0.0	OneHanded	Z-shaped	0	Neutral	Neutral	Neutral	0	nan	0
[wander;A_01_019,scroll_down;C_03_084]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	Straight	0	Neutral	Neutral	Neutral	0	nan	0
[later;D_01_077,wander;A_01_019]	i	FullyOpen	0.0	nan	nan	Open	0.0	OneHanded	Z-shaped	0	Neutral	Neutral	Neutral	0	nan	0
[later;D_01_077,wander;A_01_019]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	Straight	0	Neutral	Neutral	Neutral	0	nan	0
[alone;D_02_024,wander;A_01_019]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	Circular	0	Neutral	Neutral	Neutral	0	nan	0
[alone;D_02_024,wander;A_01_019]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	Z-shaped	0	Neutral	Neutral	Neutral	0	nan	1
[wander;A_01_019,there;D_02_060]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	Straight	0	Neutral	Neutral	Neutral	0	nan	0
[wander;A_01_019,there;D_02_060]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	Z-shaped	0	Neutral	Neutral	nan	0	nan	0
[wander;A_01_019,italy;D_02_074]	i	Curved	0.0	nan	nan	Closed	0.0	OneHanded	Z-shaped	0	Neutral	Neutral	Neutral	0	nan	0
[wander;A_01_019,italy;D_02_074]	i	FullyOpen	0.0	nan	nan	Open	0.0	OneHanded	Z-shaped	0	Neutral	Neutral	Neutral	0	nan	0
[must;F_02_004,wander;A_01_019]	i	Bent	0.0	nan	nan	Closed	0.0	OneHanded	Z-shaped	0	Neutral	Neutral	Neutral	0	nan	0
[must;F_02_004,wander;A_01_019]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	Curved	0	Neutral	Neutral	Neutral	0	nan	0
[isolated;F_02_033,wander;A_01_019]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	Circular	0	Neutral	Neutral	Neutral	0	nan	0
[isolated;F_02_033,wander;A_01_019]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	Z-shaped	1	Neutral	Neutral	Neutral	0	nan	0
[half;F_03_040,wander;A_01_019]	i	FullyOpen	nan	nan	nan	Closed	0.0	OneHanded	Z-shaped	0	Neutral	Neutral	Neutral	0	nan	0
[half;F_03_040,wander;A_01_019]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	Straight	0	Neutral	Neutral	Neutral	0	nan	0
[wander;A_01_019,blow_candle_2;K_02_022]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	nan	0	Neutral	Neutral	Neutral	0	nan	0
[wander;A_01_019,blow_candle_2;K_02_022]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	Z-shaped	0	Neutral	Neutral	nan	0	nan	0
[point_index;K_02_083,wander;A_01_019]	i	Flat	0.0	nan	nan	Closed	0.0	OneHanded	Z-shaped	0	Neutral	Neutral	Neutral	0	nan	0
[point_index;K_02_083,wander;A_01_019]	i	FullyOpen	0.0	nan	nan	Closed	0.0	OneHanded	Straight	0	Neutral	Neutral	Neutral	0	nan	0
[text;B_03_054,scientist;A_01_020]	t	nan	1.0	nan	nan	Open	nan	SymmetricalOrAlternating	Circular	1	Neutral	Neutral	Neutral	0	a	0
[text;B_03_054,scientist;A_01_020]	t	nan	nan	nan	nan	Open	nan	SymmetricalOrAlternating	Straight	1	Neutral	Neutral	Neutral	0	a	0
[game;C_03_047,scientist;A_01_020]	t	nan	nan	nan	nan	Open	nan	SymmetricalOrAlternating	Straight	1	Neutral	Neutral	Neutral	0	a	0
[game;C_03_047,scientist;A_01_020]	t	nan	nan	nan	nan	Open	nan	SymmetricalOrAlternating	Circular	1	Neutral	Neutral	Neutral	1	a	0
[continue;D_03_032,scientist;A_01_020]	t	nan	nan	nan	nan	Open	nan	SymmetricalOrAlternating	Curved	1	Neutral	Neutral	Neutral	0	a	0
[continue;D_03_032,scientist;A_01_020]	t	nan	nan	nan	nan	Open	nan	SymmetricalOrAlternating	Circular	1	Neutral	Neutral	Neutral	1	a	0
[shape;F_01_005,scientist;A_01_020]	t	nan	nan	nan	nan	Open	nan	SymmetricalOrAlternating	Z-shaped	1	Neutral	Neutral	Neutral	0	a	0
[shape;F_01_005,scientist;A_01_020]	t	nan	nan	nan	nan	Open	nan	SymmetricalOrAlternating	Circular	0	Neutral	Neutral	Neutral	0	a	0
[scientist;A_01_020,race;F_02_075]	t	nan	nan	nan	nan	Open	nan	SymmetricalOrAlternating	nan	1	Neutral	Neutral	Neutral	0	a	0
[scientist;A_01_020,race;F_02_075]	t	nan	nan	nan	nan	Open	nan	SymmetricalOrAlternating	Circular	1	Neutral	Neutral	Neutral	0	a	1
[dig_up;G_02_019,scientist;A_01_020]	t	nan	nan	nan	nan	Open	nan	SymmetricalOrAlternating	Curved	1	Neutral	Neutral	Neutral	0	a	0
[dig_up;G_02_019,scientist;A_01_020]	t	nan	nan	nan	nan	Open	nan	SymmetricalOrAlternating	Circular	1	Neutral	Neutral	Neutral	0	a	1
[slice_4;K_03_067,bury_1;K_02_014,read;A_01_022]	im	FullyOpen	0.0	0.0	0.0	Closed	0.0	AsymmetricalDifferentHandshape	Straight	1	Hand	HandAway	HandAway	0	B	0
[bury_1;K_02_014,read;A_01_022]	im	FullyOpen	0.0	1.0	0.0	Closed	0.0	AsymmetricalDifferentHandshape	Straight	0	Hand	HandAway	HandAway	0	B	0
[read;A_01_022,strain_1;K_03_045]	imrp	FullyOpen	0.0	1.0	0.0	Closed	0.0	AsymmetricalDifferentHandshape	Straight	1	Hand	HandAway	HandAway	0	B	0
[slice_4;K_03_067,read;A_01_022,strain_1;K_03_045]	im	FullyOpen	0.0	1.0	0.0	Closed	0.0	AsymmetricalDifferentHandshape	Straight	1	Hand	HandAway	HandAway	0	S	0
[turkey;A_02_078,cat;A_01_023]	i	Flat	0.0	nan	nan	Open	1.0	OneHanded	Straight	1	Head	CheekNose	HeadAway	1	nan	0
[turkey;A_02_078,cat;A_01_023]	i	Curved	0.0	nan	nan	Open	0.0	OneHanded	Straight	1	Head	CheekNose	HeadAway	1	nan	0
[fox;A_03_041,cat;A_01_023]	i	Curved	0.0	nan	nan	Open	1.0	OneHanded	Curved	1	Head	CheekNose	HeadAway	1	nan	0
[fox;A_03_041,cat;A_01_023]	i	Curved	0.0	nan	nan	Open	1.0	OneHanded	Straight	1	Head	CheekNose	nan	1	nan	0
[clueless;F_03_082,cat;A_01_023]	i	Curved	0.0	nan	nan	Open	1.0	OneHanded	Straight	1	Head	HeadAway	HeadAway	1	nan	0
[clueless;F_03_082,cat;A_01_023]	i	Curved	0.0	nan	nan	Open	1.0	OneHanded	Straight	1	Head	CheekNose	HeadAway	0	nan	0
[soon_1;G_01_004,cat;A_01_023]	i	Curved	0.0	nan	nan	Open	1.0	OneHanded	Straight	1	Head	Chin	HeadAway	1	nan	0
[soon_1;G_01_004,cat;A_01_023]	i	Curved	0.0	nan	nan	Open	1.0	OneHanded	Straight	1	Head	CheekNose	nan	1	nan	0
[magnify_1;G_01_073,cat;A_01_023]	i	Bent	0.0	nan	nan	Open	1.0	OneHanded	Straight	1	Head	CheekNose	HeadAway	1	nan	0
[magnify_1;G_01_073,cat;A_01_023]	i	Curved	0.0	nan	nan	Open	1.0	OneHanded	Straight	1	Head	Eye	HeadAway	1	nan	0
[cheek;G_03_052,cat;A_01_023]	i	Bent	0.0	nan	nan	Open	1.0	OneHanded	Straight	1	Head	CheekNose	HeadAway	1	nan	0
[cheek;G_03_052,cat;A_01_023]	i	Curved	0.0	nan	nan	Open	1.0	OneHanded	Straight	1	Head	CheekNose	nan	1	nan	0
[barely;H_03_037,cat;A_01_023]	i	Curved	0.0	nan	nan	Open	1.0	OneHanded	Straight	0	Head	CheekNose	HeadAway	1	nan	0
[barely;H_03_037,cat;A_01_023]	i	Curved	0.0	nan	nan	Open	1.0	OneHanded	Straight	1	Head	HeadTop	HeadAway	1	nan	0
[theory;J_03_042,cat;A_01_023]	i	Bent	0.0	nan	nan	Open	1.0	OneHanded	Straight	1	Head	CheekNose	HeadAway	1	nan	0
[theory;J_03_042,cat;A_01_023]	i	Curved	0.0	nan	nan	Open	1.0	OneHanded	Straight	1	Head	Forehead	HeadAway	1	nan	0
[room;A_01_024,waiter;A_01_061,prayer;C_03_090]	imrp	FullyOpen	0.0	0.0	0.0	Open	0.0	SymmetricalOrAlternating	Straight	1	Neutral	Neutral	nan	0	open_b	0
